target_abuse_score,target_confidence,target_auto_blocked,total_reports,vt_detections,abuse_score,confidence,threatfox_iocs,mitre_confidence,asshole_score,classification_confidence,usage_type,country_code,threat_category,infrastructure_type,suspicious_isp,young_domain,residential_proxy,verified_identity,published_ip_ranges,signal_abuse_reports,signal_vt_detections,signal_threatfox,signal_suspicious_infra,signal_behavioral,reports_to_vt_ratio,has_ssl_data,ssl_port_open,id
30,30,1,7,0,30,30,0,65,39.03089986991944,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,7,1,0,"indicator--b6b7c68d-7d2f-4826-83b2-62c8a5aeec6e"
100,100,1,1767,0,100,100,0,90,132.47482260677054,70,"Data Center/Web Hosting/Transit","NL","SCANNER","DATACENTER",0,0,0,0,0,1,0,0,0,1,1767,1,0,"indicator--035a79e9-b9b0-4456-8b39-2776d9862049"
60,70,1,55,1,60,70,0,0,78.481880270062,75,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,1,0,0,1,27.5,1,0,"indicator--80d811d8-4533-47b5-8b94-0b2e5c8e243c"
100,100,1,202,0,100,100,0,85,123.07496037913214,70,"Data Center/Web Hosting/Transit","PL","SCANNER","DATACENTER",0,0,0,0,0,1,0,0,0,1,202,1,1,"indicator--32e4ab56-4da8-40ca-ba9f-b7d4d83ff0eb"
36,41,1,12,0,36,41,0,65,72.13943352306836,55,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,12,1,0,"indicator--9476e627-3606-4bc2-97ca-82505f36f4e8"
43,43,1,55,0,43,43,0,65,60.48188027006201,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,55,1,0,"indicator--d0cde6e9-d72a-4acd-8d30-1af2f0bbed68"
100,100,1,47,4,100,100,0,80,120.81241237375588,75,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,9.4,1,0,"indicator--dddfdfec-5e7f-417d-9afb-fce3b52f62c9"
40,45,1,14,0,40,45,0,65,76.76091259055681,55,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,14,1,0,"indicator--d3ec1539-b505-4640-a14d-5ab308f6bda3"
100,100,1,154,3,100,100,0,95,124.90331698170291,85,"Data Center/Web Hosting/Transit","US","SCANNER","DATACENTER",0,0,0,0,0,1,1,0,0,1,38.5,1,0,"indicator--72b4d9eb-9f25-4b4d-aca0-336614fea83a"
48,48,1,70,0,48,48,0,65,66.51258348719075,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,70,1,0,"indicator--cc703da0-0c4b-4b09-8c2c-3063044b5205"
59,69,1,64,3,59,69,0,65,80.12913356642855,75,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,1,0,0,1,16,1,0,"indicator--f213f5d6-5ea1-4edd-aeec-b902dbf5bfb8"
54,54,1,55,0,54,54,0,0,71.481880270062,60,"Fixed Line ISP","US","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,55,1,0,"indicator--6bad6d6d-2075-4091-8b5d-e9245be66fcc"
100,100,1,49,1,100,100,0,80,117.98970004336019,75,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,24.5,1,0,"indicator--96645cf6-3071-4d28-8e14-fa71273de2c7"
39,39,1,20,0,39,39,0,0,52.222192947339195,50,"Data Center/Web Hosting/Transit","CA","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,20,1,0,"indicator--8573a68b-878b-4a13-987d-937227fe631d"
38,38,1,10,0,38,38,0,0,48.41392685158225,50,"Data Center/Web Hosting/Transit","CA","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,10,1,0,"indicator--03c51239-66f9-464d-a34e-4074f0ad6243"
34,34,1,72,0,34,34,0,65,52.63322860120456,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,72,1,0,"indicator--1abeb025-c961-4e42-b649-0b11178b9f0a"
100,100,1,34,0,100,100,0,70,115.44068044350276,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,34,1,0,"indicator--170fa721-9d66-4634-b9c7-02c0a9427a69"
42,57,1,23,2,42,57,0,65,82.80211241711606,70,"Data Center/Web Hosting/Transit","HK","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,1,0,1,1,7.666666666666667,1,0,"indicator--8dc1205f-e073-4ae7-b958-19167c71327d"
100,100,1,468,0,100,100,0,90,126.71172842715083,70,"Data Center/Web Hosting/Transit","US","SCANNER","DATACENTER",0,0,0,0,0,1,0,0,0,1,468,1,0,"indicator--eb41899f-191e-4e5c-9e87-015ed45819d4"
100,100,1,386,9,100,100,0,95,134.8771096501891,85,"Data Center/Web Hosting/Transit","NL","MALICIOUS_BOT","DATACENTER",0,0,0,0,0,1,1,0,0,1,38.6,1,0,"indicator--c11abfe2-0723-4edd-bf2b-4d282fade9e1"
71,71,1,88,0,71,71,0,0,90.49390006644913,60,"Data Center/Web Hosting/Transit","FI","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,88,1,1,"indicator--ac7808a2-0ed7-4b6f-8906-96dddb104daf"
0,80,0,0,0,0,80,0,0,0,0,"unknown","unknown","unknown","unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,"indicator--threatfox-157a250c-f5e7-57d0-940b-b62e5daccd55"
100,100,1,636,4,100,100,0,95,132.0413943233535,85,"Data Center/Web Hosting/Transit","US","SCANNER","DATACENTER",0,0,0,0,0,1,1,0,0,1,127.2,1,0,"indicator--217d4f7e-78c7-4647-b589-3bbd463a4f39"
